connection	op	table	params
virtual-313	MERGE	txn0	147	147	"5"	"5"
virtual-311	SELECT	txn0	147
virtual-315	MERGE	txn0	147	147	"8"	"8"
virtual-314	MERGE	txn0	148	148	"5"	"5"
virtual-310	MERGE	txn0	148	148	"2"	"2"
virtual-312	MERGE	txn0	148	148	"4"	"4"
virtual-316	SELECT	txn2	150
virtual-314	SELECT	txn0	148
virtual-310	SELECT	txn1	146
virtual-318	SELECT	txn2	149
virtual-310	MERGE	txn0	148	148	"3"	"3"
virtual-317	SELECT	txn1	3
virtual-312	SELECT	txn0	147
virtual-317	MERGE	txn0	101	101	"7"	"7"
virtual-314	MERGE	txn0	147	147	"7"	"7"
virtual-319	SELECT	txn0	148
virtual-317	SELECT	txn2	150
virtual-322	SELECT	txn2	150
virtual-322	SELECT	txn2	149
virtual-320	MERGE	txn2	150	150	"1"	"1"
virtual-323	SELECT	txn2	150
virtual-321	SELECT	txn1	2
virtual-321	MERGE	txn2	150	150	"4"	"4"
virtual-324	MERGE	txn0	148	148	"6"	"6"
virtual-325	MERGE	txn0	148	148	"7"	"7"
virtual-324	MERGE	txn2	149	149	"2"	"2"
virtual-326	SELECT	txn1	2
virtual-320	MERGE	txn2	149	149	"1"	"1"
virtual-321	SELECT	txn1	139
virtual-326	SELECT	txn2	150
virtual-321	SELECT	txn2	150
virtual-328	SELECT	txn2	149
virtual-326	MERGE	txn0	148	148	"8"	"8"
virtual-327	MERGE	txn2	149	149	"6"	"6"
virtual-330	SELECT	txn2	149
virtual-329	MERGE	txn2	150	150	"6"	"6"
virtual-328	MERGE	txn2	150	150	"5"	"5"
virtual-331	SELECT	txn2	150
virtual-329	MERGE	txn2	150	150	"7"	"7"
virtual-334	MERGE	txn2	149	149	"8"	"8"
virtual-330	SELECT	txn2	149
virtual-330	MERGE	txn2	149	149	"7"	"7"
virtual-332	MERGE	txn2	150	150	"8"	"8"
virtual-333	SELECT	txn2	150
virtual-334	SELECT	txn2	150
virtual-329	MERGE	txn0	151	151	"1"	"1"
virtual-335	SELECT	txn0	153
virtual-336	MERGE	txn1	154	154	"1"	"1"
virtual-335	SELECT	txn2	152
virtual-334	MERGE	txn0	153	153	"1"	"1"
virtual-337	MERGE	txn1	154	154	"2"	"2"
virtual-338	MERGE	txn2	152	152	"1"	"1"
virtual-333	SELECT	txn2	149
virtual-336	SELECT	txn0	153
virtual-340	SELECT	txn0	153
virtual-337	MERGE	txn0	153	153	"2"	"2"
virtual-339	MERGE	txn1	154	154	"3"	"3"
virtual-338	MERGE	txn0	153	153	"3"	"3"
virtual-340	SELECT	txn0	151
virtual-341	MERGE	txn0	153	153	"5"	"5"
virtual-342	MERGE	txn1	154	154	"6"	"6"
virtual-339	SELECT	txn2	152
virtual-338	MERGE	txn0	153	153	"4"	"4"
virtual-339	SELECT	txn1	154
virtual-340	MERGE	txn1	154	154	"5"	"5"
virtual-345	MERGE	txn1	3	3	"8"	"8"
virtual-345	MERGE	txn0	153	153	"6"	"6"
virtual-339	MERGE	txn1	154	154	"4"	"4"
virtual-344	SELECT	txn0	153
virtual-344	MERGE	txn2	152	152	"2"	"2"
virtual-343	SELECT	txn2	152
virtual-347	SELECT	txn0	153
virtual-346	MERGE	txn0	153	153	"7"	"7"
virtual-348	MERGE	txn1	154	154	"8"	"8"
